序号,公司名称,招聘链接,所属类型,数据来源
1,腾讯社招,https://careers.tencent.com,互联网大厂,大厂公司区·秋招信息源
2,腾讯校招,https://join.qq.com,互联网大厂,大厂公司区·秋招信息源
3,阿里巴巴,https://talent.alibaba.com,互联网大厂,大厂公司区·秋招信息源
4,阿里云招聘,https://careers.aliyun.com,互联网大厂,大厂公司区·秋招信息源
5,蚂蚁集团,https://talent.antgroup.com,互联网大厂,大厂公司区·秋招信息源
6,字节跳动,https://jobs.bytedance.com,互联网大厂,大厂公司区·秋招信息源
7,百度,https://talent.baidu.com,互联网大厂,大厂公司区·秋招信息源
8,京东社招,https://zhaopin.jd.com,互联网大厂,大厂公司区·秋招信息源
9,京东校招,https://campus.jd.com,互联网大厂,大厂公司区·秋招信息源
10,美团,https://zhaopin.meituan.com,互联网大厂,大厂公司区·秋招信息源
11,滴滴出行,https://talent.didiglobal.com,互联网大厂,大厂公司区·秋招信息源
12,小米集团,https://hr.xiaomi.com,互联网大厂,大厂公司区·秋招信息源
13,快手,https://zhaopin.kuaishou.cn,互联网大厂,大厂公司区·秋招信息源
14,网易,https://campus.163.com,互联网大厂,大厂公司区·秋招信息源
15,拼多多,https://careers.pddglobalhr.com,互联网大厂,大厂公司区·秋招信息源
16,小红书,https://job.xiaohongshu.com,互联网大厂,大厂公司区·秋招信息源
17,携程,https://job.ctrip.com,互联网大厂,大厂公司区·秋招信息源
18,贝壳找房,https://campus.ke.com,互联网大厂,大厂公司区·秋招信息源
19,知乎,https://careers.zhihu.com,互联网大厂,大厂公司区·秋招信息源
20,B 站（哔哩哔哩）,https://hr.bilibili.com,互联网大厂,大厂公司区·秋招信息源
21,搜狐,https://hr.sohu.com,互联网大厂,大厂公司区·秋招信息源
22,新浪,https://hr.sina.com.cn,互联网大厂,大厂公司区·秋招信息源
23,奇安信（360）,https://hr.360.cn,互联网大厂,大厂公司区·秋招信息源
24,去哪儿网,https://job.qunar.com,互联网大厂,大厂公司区·秋招信息源
25,猿辅导,https://hr.yuanfudao.com,互联网大厂,大厂公司区·秋招信息源
26,米哈游（原神）,https://campus.mihoyo.com,互联网大厂,大厂公司区·秋招信息源
